Mes,Fecha de cobro,Cliente,Honorario USD,Medio de pago,Cotización Aplicada,Monto cobrado ARS,Monto cobrado USDT,Montro cobrado USD,Estado
2026-01,4/1/2026,Panel Pluton,500,ARS,1530,"$765,000",,$500.00,Cobrado
2026-01,7/1/2026,RedEstrella,400,USDT,0,,$400,$400.00,Cobrado
2026-01,7/1/2026,BetOneGanamos,500,ARS,1530,"$765,000",,$500.00,Cobrado
2026-01,8/1/2026,NicoGanamos | Panel 7,250,ARS,1510,"$377,500",,$250.00,Cobrado
2026-01,12/1/2026,NicoGanamos | Panel 6,250,ARS,1505,"$376,250",,$250.00,Cobrado
2026-01,14/1/2026,NicoGanamos | Panel 1,125,USDT,,,$125,$125.00,Cobrado
2026-01,18/01/2026,Red 365,500,USDT,0,,500,$500.00,Cobrado
2026-01,20/1/2026,Tello Games,175,USDT,0,,175,$175.00,Cobrado
